num_lstm_layers,lstm_units_1,lstm_activation_1,lstm_recurrent_dropout_1,dropout,num_dense_layers,lr,loss_function,dropout_rate,lstm_units_2,lstm_activation_2,lstm_recurrent_dropout_2,dense_units_1,dense_activation_1,dense_units_2,dense_activation_2,dense_units_3,dense_activation_3,lstm_units_3,lstm_activation_3,lstm_recurrent_dropout_3,window
1,128,relu,0.0,False,3,0.001,mean_squared_error,0.35000000000000003,64,sigmoid,0.0,128,tanh,64,tanh,128.0,sigmoid,64,sigmoid,0.0,1
2,64,tanh,0.2,False,2,0.005,mean_squared_error,0.35000000000000003,64,relu,0.05,32,tanh,64,tanh,64.0,tanh,32,relu,0.0,2
1,32,sigmoid,0.0,False,0,0.01,mean_squared_error,0.35000000000000003,64,relu,0.05,128,sigmoid,32,tanh,32.0,sigmoid,128,tanh,0.15000000000000002,3
1,64,tanh,0.05,False,2,0.01,mean_squared_error,,64,tanh,0.1,128,relu,64,sigmoid,,,128,sigmoid,0.0,4
1,128,tanh,0.1,True,1,0.01,mean_squared_error,0.45,64,tanh,0.15000000000000002,128,tanh,32,tanh,64.0,tanh,128,relu,0.0,5
1,128,tanh,0.0,False,3,0.001,mean_squared_error,0.25,32,tanh,0.05,64,sigmoid,64,tanh,32.0,sigmoid,64,sigmoid,0.2,6
1,128,tanh,0.1,False,3,0.005,mean_squared_error,0.2,64,relu,0.15000000000000002,128,relu,32,tanh,32.0,tanh,64,tanh,0.2,7
1,128,tanh,0.15000000000000002,False,3,0.001,mean_squared_error,0.45,64,sigmoid,0.0,64,relu,64,sigmoid,32.0,tanh,64,tanh,0.1,8
2,128,relu,0.0,False,2,0.001,mean_squared_error,0.30000000000000004,128,relu,0.2,32,relu,32,tanh,,,32,tanh,0.0,9
1,32,tanh,0.1,False,0,0.01,mean_squared_error,0.2,128,relu,0.0,32,relu,128,tanh,32.0,relu,128,sigmoid,0.1,10
3,128,tanh,0.15000000000000002,False,0,0.01,mean_squared_error,0.4,64,sigmoid,0.2,64,tanh,32,relu,32.0,tanh,64,tanh,0.1,11
