num_lstm_layers,lstm_units_1,lstm_activation_1,lstm_recurrent_dropout_1,dropout,num_dense_layers,lr,loss_function,dropout_rate,lstm_units_2,lstm_activation_2,lstm_recurrent_dropout_2,lstm_units_3,lstm_activation_3,lstm_recurrent_dropout_3,window,dense_units_1,dense_activation_1,dense_units_2,dense_activation_2,dense_units_3,dense_activation_3
3,128,tanh,0.05,True,0,0.001,madl,0.2,32,tanh,0.0,32.0,tanh,0.0,1,,,,,,
2,32,relu,0.1,True,1,0.01,madl,0.25,64,sigmoid,0.1,64.0,sigmoid,0.15000000000000002,2,32.0,relu,64.0,relu,32.0,relu
1,128,relu,0.1,False,1,0.01,madl,0.30000000000000004,64,tanh,0.05,,,,3,64.0,tanh,64.0,relu,,
3,128,tanh,0.1,False,3,0.01,madl,0.4,64,sigmoid,0.15000000000000002,128.0,relu,0.15000000000000002,4,32.0,sigmoid,128.0,relu,32.0,tanh
1,128,tanh,0.1,False,2,0.005,madl,0.2,32,tanh,0.1,,,,5,128.0,sigmoid,128.0,tanh,,
1,128,tanh,0.1,False,1,0.01,madl,0.45,64,sigmoid,0.2,32.0,tanh,0.1,6,32.0,sigmoid,64.0,sigmoid,128.0,tanh
3,64,sigmoid,0.0,True,1,0.001,madl,0.45,64,sigmoid,0.2,32.0,relu,0.2,7,128.0,relu,32.0,tanh,128.0,tanh
1,32,tanh,0.2,True,1,0.01,madl,0.25,64,relu,0.05,128.0,relu,0.05,8,64.0,relu,64.0,sigmoid,64.0,relu
3,128,sigmoid,0.2,True,2,0.0001,madl,0.45,32,sigmoid,0.0,128.0,sigmoid,0.0,9,128.0,relu,128.0,tanh,64.0,relu
2,64,relu,0.05,True,0,0.0005,madl,0.4,32,relu,0.05,64.0,sigmoid,0.15000000000000002,10,32.0,relu,128.0,relu,32.0,tanh
2,32,relu,0.15000000000000002,False,2,0.0001,madl,0.2,128,sigmoid,0.15000000000000002,64.0,tanh,0.0,11,64.0,relu,64.0,relu,64.0,relu
